Year,Educational Level,Academic Level,Type of Educational Institution,Region,State,Type of University,University Name,General Field,Field,Specialization,Education type,Gender,Nationality,Number of Students
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,حائل,حائل,جامعة,جامعة حائل,الصحة والرفاة,الصحة,العلاج وإعادة التأهيل,منتظم,أنثى,سعودي,59
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,عسير,أبها,جامعة,جامعة الملك خالد,الفنون والعلوم الإنسانية,الدراسات الإنسانية,الدين وعلوم الأديان,منتظم,أنثى,غير سعودي,8
1/1/2015,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,أنثى,غير سعودي,1
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,شقراء,جامعة,جامعة شقراء,العلوم الطبيعية والرياضيات والإحصاء,الرياضيات والإحصاء,الرياضيات,منتظم,أنثى,سعودي,35
1/1/2016,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,نجران,نجران,جامعة,جامعة نجران,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,ذكر,سعودي,239
1/1/2017,دراسات عليا,ماجستير,جامعات حكومية,عسير,بيشة,جامعة,جامعة بيشة,التعليم,التعليم,علم التربية,منتظم,ذكر,سعودي,9
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,الشرقية,الدمام,جامعة,جامعة الإمام عبدالرحمن بن فيصل,الصحة والرفاة,الصحة,دراسات طب الأسنان,منتظم,أنثى,سعودي,187
1/1/2015,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,العلوم الطبيعية والرياضيات والإحصاء,البيئة,علوم البيئة,منتظم,ذكر,سعودي,6
1/1/2014,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,الرياض,الرياض,جامعة,جامعة المعرفة الأهلية للعلوم والتقنية,الصحة والرفاة,الصحة,الصيدلة,منتظم,ذكر,غير سعودي,22
1/1/2017,دراسات عليا,ماجستير,جامعات حكومية,المدينة المنورة,المدينة المنورة,جامعة,الجامعة الإسلامية,الأعمال والإدارة والقانون,القانون,القانون,موازي,ذكر,غير سعودي,12
1/1/2016,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الأميرة نورة بنت عبدالرحمن,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,أنثى,سعودي,622
1/1/2015,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,التعليم,التعليم,علم التربية,منتظم,ذكر,غير سعودي,1
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,تبوك,تبوك,جامعة,جامعة تبوك,العلوم الطبيعية والرياضيات والإحصاء,الرياضيات والإحصاء,الرياضيات,منتظم,أنثى,غير سعودي,7
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,جدة,جامعة,الجامعة السعودية الإلكترونية,الأعمال والإدارة والقانون,الأعمال والإدارة,التسويق والإعلان,منتظم,ذكر,سعودي,38
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الأفلاج,جامعة,جامعة الأمير سطام بن عبدالعزيز,العلوم الطبيعية والرياضيات والإحصاء,الرياضيات والإحصاء,الرياضيات,منتظم,أنثى,سعودي,71
1/1/2013,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,الشرقية,الدمام,جامعة,جامعة الأمير محمد بن فهد,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الإلكترونيات والأتمتة,منتظم,أنثى,غير سعودي,6
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,المزاحمية,جامعة,جامعة شقراء,التعليم,التعليم,تدريب معلمي ما قبل المدرسة,منتظم,أنثى,سعودي,1383
1/1/2016,دراسات عليا,دكتوراه,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الإمام محمد بن سعود الإسلامية,الأعمال والإدارة والقانون,القانون,القانون,منتظم,ذكر,غير سعودي,16
1/1/2013,دراسات عليا,دكتوراه,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,العلوم الطبيعية والرياضيات والإحصاء,الرياضيات والإحصاء,الرياضيات,منتظم,أنثى,سعودي,3
1/1/2013,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,الأعمال والإدارة والقانون,الأعمال والإدارة,المحاسبة والضرائب,منتظم,ذكر,غير سعودي,3
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,المدينة المنورة,ينبع,جامعة,جامعة طيبة,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تطوير وتحليل البرمجيات والتطبيقات,منتظم,أنثى,سعودي,503
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,الشرقية,الدمام,جامعة,جامعة الإمام عبدالرحمن بن فيصل,الصحة والرفاة,الصحة,الطب,منتظم,أنثى,غير سعودي,5
1/1/2016,دراسات عليا,ماجستير,جامعات حكومية,عسير,أبها,جامعة,جامعة الملك خالد,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,موازي,ذكر,سعودي,54
1/1/2015,دراسات عليا,ماجستير,جامعات حكومية,عسير,أبها,جامعة,جامعة الملك خالد,الفنون والعلوم الإنسانية,اللغات,إكتساب اللغات,موازي,أنثى,سعودي,7
1/1/2013,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,مكة المكرمة,جدة,كلية,المؤسسة العامة للتدريب التقني والمهني,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الميكانيك والحرف المعدنية,منتظم,ذكر,سعودي,337
1/1/2017,دراسات عليا,دكتوراه,جامعات حكومية,الشرقية,الظهران,جامعة,جامعة الملك فهد للبترول والمعادن,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,برامج غير مصنفة في مجال تكنولوجيا الاتصالات والمعلومات,منتظم,ذكر,سعودي,1
1/1/2016,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,الهندسة والتصنيع والبناء,الهندسة المعمارية والبناء,الهندسة المعمارية وتخطيط المدن,منتظم,ذكر,غير سعودي,2
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,الشرقية,الدمام,جامعة,جامعة الإمام عبدالرحمن بن فيصل,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,أنثى,سعودي,103
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,الشرقية,الدمام,جامعة,جامعة الإمام عبدالرحمن بن فيصل,التعليم,التعليم,تدريب المعلمين دون موضوع تخصصي,منتظم,ذكر,سعودي,97
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,العلوم الاجتماعية والصحافة والإعلام,العلوم الاجتماعية والسلوكية,علم النفس,منتسب,أنثى,سعودي,3010
1/1/2017,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,الرياض,القويعية,كلية,المؤسسة العامة للتدريب التقني والمهني,البرامج والمؤهلات العامة,البرامج والمؤهلات العامة,البرامج والمؤهلات العامة,منتظم,ذكر,سعودي,608
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,الخدمات,الخدمات الشخصية,الخدمات المنزلية,منتظم,أنثى,غير سعودي,4
1/1/2015,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,القصيم,بريدة,كلية,كليات بريدة الأهلية,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,أنثى,سعودي,119
1/1/2016,دراسات عليا,ماجستير,جامعات حكومية,الشرقية,الإحساء,جامعة,جامعة الملك فيصل,الفنون والعلوم الإنسانية,الدراسات الإنسانية,الدين وعلوم الأديان,منتظم,ذكر,سعودي,40
1/1/2014,دراسات عليا,ماجستير,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,الصحة والرفاة,الصحة,التشخيص الطبي وتكنولوجيا العلاج,منتظم,ذكر,سعودي,2
1/1/2017,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,الرياض,الدرعية,كلية,المؤسسة العامة للتدريب التقني والمهني,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الإلكترونيات والأتمتة,منتظم,ذكر,سعودي,41
1/1/2017,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,العلوم الاجتماعية والصحافة والإعلام,العلوم الاجتماعية والسلوكية,علم الاجتماع والدراسات الثقافية,منتظم,أنثى,غير سعودي,1
1/1/2015,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,الرياض,الرياض,جامعة,جامعة المعرفة الأهلية للعلوم والتقنية,الصحة والرفاة,الصحة,الطب,منتظم,ذكر,غير سعودي,97
1/1/2015,دراسات عليا,ماجستير,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,الصحة والرفاة,الصحة,الطب والعلاج التقليدي والبديل,منتظم,أنثى,سعودي,6
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,حائل,حائل,جامعة,جامعة حائل,العلوم الطبيعية والرياضيات والإحصاء,برامج غير محددة في العلوم الطبيعية والرياضيات والإحصاء,برامج غير محددة في العلوم الطبيعية والرياضيات والإحصاء,منتظم,أنثى,سعودي,135
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,عسير,خميس مشيط,جامعة,جامعة الملك خالد,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تطوير وتحليل البرمجيات والتطبيقات,منتظم,أنثى,سعودي,326
1/1/2014,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,الرياض,الرياض,جامعة,جامعة اليمامة الأهلية,الأعمال والإدارة والقانون,الأعمال والإدارة,المالية والمصارف والتأمين,منتظم,أنثى,سعودي,82
1/1/2014,دراسات عليا,ماجستير,جامعات وكليات أهلية,الرياض,الرياض,جامعة,جامعة الأمير سلطان,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تطوير وتحليل البرمجيات والتطبيقات,منتظم,ذكر,غير سعودي,4
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,الشرقية,الإحساء,جامعة,جامعة الملك فيصل,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتسب,أنثى,غير سعودي,1649
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,عسير,محايل عسير,جامعة,جامعة الملك خالد,الخدمات,الخدمات الشخصية,الخدمات المنزلية,منتظم,أنثى,سعودي,198
1/1/2017,دراسات عليا,ماجستير,جامعات حكومية,عسير,أبها,جامعة,جامعة الملك خالد,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,موازي,ذكر,سعودي,24
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,الباحة,الباحة,جامعة,جامعة الباحة,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الكهرباء والطاقة,منتظم,ذكر,غير سعودي,2
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,الباحة,المندق,جامعة,جامعة الباحة,الفنون والعلوم الإنسانية,اللغات,إكتساب اللغات,منتظم,أنثى,غير سعودي,3
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,الشرقية,الدمام,جامعة,جامعة الإمام عبدالرحمن بن فيصل,العلوم الطبيعية والرياضيات والإحصاء,العلوم البيولوجية والعلوم المتصلة بها,البيولوجيا,منتظم,أنثى,سعودي,709
1/1/2013,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,الرياض,الرياض,جامعة,جامعة اليمامة الأهلية,الأعمال والإدارة والقانون,الأعمال والإدارة,التسويق والإعلان,منتظم,أنثى,غير سعودي,20
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,الشرقية,الدمام,جامعة,جامعة الإمام عبدالرحمن بن فيصل,العلوم الاجتماعية والصحافة والإعلام,العلوم الاجتماعية والسلوكية,علم الاجتماع والدراسات الثقافية,منتسب,ذكر,سعودي,48
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,الشرقية,الإحساء,جامعة,جامعة الملك فيصل,التعليم,التعليم,تدريب المعلمين مع موضوع تخصصي,منتظم,أنثى,سعودي,51
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,القصيم,بريدة,جامعة,جامعة القصيم,الأعمال والإدارة والقانون,الأعمال والإدارة,المحاسبة والضرائب,منتظم,أنثى,سعودي,71
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,العلوم الطبيعية والرياضيات والإحصاء,الرياضيات والإحصاء,الرياضيات,منتظم,ذكر,غير سعودي,4
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الهندسة والمعالجات الكيميائية,منتظم,ذكر,غير سعودي,25
1/1/2014,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,الشرقية,الخبر,كلية,كلية محمد المانع الأهلية للعلوم الطبية,الصحة والرفاة,الصحة,التمريض والقبالة,منتظم,أنثى,سعودي,226
1/1/2013,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,الرياض,المجمعة,جامعة,جامعة المجمعة,التعليم,التعليم,علم التربية,موازي,أنثى,سعودي,239
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,عسير,أبها,جامعة,جامعة الملك خالد,الأعمال والإدارة والقانون,القانون,القانون,منتظم,ذكر,سعودي,1596
1/1/2015,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,مكة المكرمة,جدة,كلية,المؤسسة العامة للتدريب التقني والمهني,الأعمال والإدارة والقانون,الأعمال والإدارة,المحاسبة والضرائب,موازي,ذكر,سعودي,12
1/1/2017,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,حائل,حائل,كلية,المؤسسة العامة للتدريب التقني والمهني,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,استخدام الحاسب الآلي,منتظم,ذكر,سعودي,32
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,جازان,جازان,جامعة,جامعة جازان,الصحة والرفاة,الرفاة,الخدمات الاجتماعية والإرشاد,منتظم,أنثى,غير سعودي,1
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,الحدود الشمالية,عرعر,جامعة,جامعة الحدود الشمالية,الصحة والرفاة,الصحة,التشخيص الطبي وتكنولوجيا العلاج,منتظم,ذكر,سعودي,9
1/1/2013,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,الرياض,الرياض,كلية,كلية العناية الطبية الأهلية,الصحة والرفاة,الصحة,التمريض والقبالة,منتظم,أنثى,غير سعودي,1
1/1/2016,دراسات عليا,ماجستير,جامعات حكومية,مكة المكرمة,مكة المكرمة,جامعة,جامعة أم القرى,الفنون والعلوم الإنسانية,الدراسات الإنسانية,الدين وعلوم الأديان,منتظم,أنثى,غير سعودي,20
1/1/2014,دراسات عليا,زمالة,جامعات حكومية,الشرقية,الدمام,جامعة,جامعة الإمام عبدالرحمن بن فيصل,الصحة والرفاة,الصحة,الطب,منتظم,ذكر,سعودي,1
1/1/2014,دراسات عليا,دكتوراه,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,العلوم الاجتماعية والصحافة والإعلام,العلوم الاجتماعية والسلوكية,علم النفس,منتظم,أنثى,سعودي,4
1/1/2015,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,التعليم,التعليم,علم التربية,منتظم,أنثى,سعودي,10
1/1/2017,دراسات عليا,ماجستير,جامعات حكومية,مكة المكرمة,مكة المكرمة,جامعة,جامعة أم القرى,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,ذكر,غير سعودي,1
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,عسير,أبها,جامعة,جامعة الملك خالد,العلوم الطبيعية والرياضيات والإحصاء,الرياضيات والإحصاء,الرياضيات,منتظم,ذكر,سعودي,468
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,القصيم,بريدة,جامعة,جامعة القصيم,الفنون والعلوم الإنسانية,اللغات,إكتساب اللغات,منتظم,ذكر,غير سعودي,4
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,التعليم,التعليم,تدريب المعلمين مع موضوع تخصصي,منتظم,ذكر,سعودي,7
1/1/2015,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,مكة المكرمة,جدة,جامعة,جامعة دار الحكمة الأهلية,الفنون والعلوم الإنسانية,الفنون,التقنيات السمعية والبصرية والإنتاج الإعلامي,منتظم,أنثى,سعودي,219
1/1/2014,دراسات عليا,ماجستير,جامعات حكومية,الباحة,الباحة,جامعة,جامعة الباحة,التعليم,التعليم,علم التربية,منتظم,أنثى,سعودي,123
1/1/2015,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الإمام محمد بن سعود الإسلامية,الفنون والعلوم الإنسانية,الدراسات الإنسانية,الدين وعلوم الأديان,منتظم,ذكر,سعودي,45
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,نجران,نجران,جامعة,جامعة نجران,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تطوير وتحليل البرمجيات والتطبيقات,منتظم,ذكر,غير سعودي,3
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,القصيم,المذنب,جامعة,جامعة القصيم,الفنون والعلوم الإنسانية,اللغات,إكتساب اللغات,منتظم,أنثى,سعودي,405
1/1/2017,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,الشرقية,الإحساء,جامعة,الجامعة العربية المفتوحة,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,برامج ومؤهلات متعددة التخصصات في تكنولوجيا الاتصالات والمعلومات,منتظم,أنثى,غير سعودي,22
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,عسير,بلقرن,جامعة,جامعة بيشة,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تطوير وتحليل البرمجيات والتطبيقات,منتظم,ذكر,سعودي,92
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,المجمعة,جامعة,جامعة المجمعة,الصحة والرفاة,الصحة,الطب,منتظم,ذكر,سعودي,216
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,مكة المكرمة,جامعة,جامعة أم القرى,الفنون والعلوم الإنسانية,اللغات,الأدب وعلوم اللغات,منتسب,أنثى,غير سعودي,49
1/1/2016,دراسات عليا,دكتوراه,جامعات حكومية,المدينة المنورة,المدينة المنورة,جامعة,الجامعة الإسلامية,الأعمال والإدارة والقانون,القانون,القانون,موازي,ذكر,سعودي,25
1/1/2014,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,الحدود الشمالية,عرعر,جامعة,جامعة الحدود الشمالية,التعليم,التعليم,علم التربية,منتظم,أنثى,سعودي,18
1/1/2017,دراسات عليا,ماجستير,جامعات حكومية,عسير,أبها,جامعة,جامعة الملك خالد,العلوم الطبيعية والرياضيات والإحصاء,العلوم البيولوجية والعلوم المتصلة بها,البيولوجيا,منتظم,ذكر,سعودي,2
1/1/2013,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,الأعمال والإدارة والقانون,الأعمال والإدارة,التسويق والإعلان,منتظم,ذكر,سعودي,6
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,العلوم الطبيعية والرياضيات والإحصاء,العلوم الفيزيائية,علوم الأرض,منتظم,ذكر,غير سعودي,1
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,العلوم الطبيعية والرياضيات والإحصاء,العلوم البيولوجية والعلوم المتصلة بها,البيولوجيا,منتظم,أنثى,سعودي,6
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الغاط,جامعة,جامعة المجمعة,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,برامج ومؤهلات متعددة التخصصات في تكنولوجيا الاتصالات والمعلومات,منتظم,أنثى,سعودي,117
1/1/2013,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,مكة المكرمة,مكة المكرمة,كلية,المؤسسة العامة للتدريب التقني والمهني,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تصميم وإدارة قواعد وشبكات البيانات,منتظم,ذكر,سعودي,230
1/1/2016,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,الزراعة والحراجة ومصائد الأسماك والبيطرة,الزراعة,إنتاج المحاصيل والمواشي,منتظم,ذكر,سعودي,2
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,مكة المكرمة,جامعة,جامعة أم القرى,الفنون والعلوم الإنسانية,الدراسات الإنسانية,الدين وعلوم الأديان,منتظم,أنثى,غير سعودي,189
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,الحدود الشمالية,عرعر,جامعة,جامعة الحدود الشمالية,الفنون والعلوم الإنسانية,الدراسات الإنسانية,الدين وعلوم الأديان,منتسب,أنثى,سعودي,4
1/1/2017,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,جازان,جازان,جامعة,جامعة جازان,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,ذكر,غير سعودي,2
1/1/2013,دراسات عليا,دكتوراه,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الإمام محمد بن سعود الإسلامية,الفنون والعلوم الإنسانية,اللغات,إكتساب اللغات,منتظم,ذكر,سعودي,12
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,الطائف,جامعة,جامعة الطائف,الصحة والرفاة,الصحة,التشخيص الطبي وتكنولوجيا العلاج,منتظم,ذكر,سعودي,188
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تطوير وتحليل البرمجيات والتطبيقات,منتظم,أنثى,غير سعودي,15
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الأميرة نورة بنت عبدالرحمن,الصحة والرفاة,الصحة,العلاج وإعادة التأهيل,منتظم,أنثى,سعودي,102
1/1/2016,دراسات عليا,دكتوراه,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الإلكترونيات والأتمتة,منتظم,ذكر,غير سعودي,1
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,الشرقية,الظهران,جامعة,جامعة الملك فهد للبترول والمعادن,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الميكانيك والحرف المعدنية,منتظم,ذكر,سعودي,653
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,التعليم,التعليم,تدريب المعلمين مع موضوع تخصصي,منتظم,ذكر,غير سعودي,24
1/1/2017,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,الرياض,الرياض,كلية,كلية العناية الطبية الأهلية,الصحة والرفاة,الصحة,التشخيص الطبي وتكنولوجيا العلاج,منتظم,ذكر,غير سعودي,11
1/1/2016,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,مكة المكرمة,جدة,جامعة,جامعة الأعمال والتكنولوجيا الأهلية,الهندسة والتصنيع والبناء,برامج غير محددة في الهندسة والتصنيع والبناء,برامج غير محددة في الهندسة والتصنيع والبناء,منتظم,ذكر,غير سعودي,120
1/1/2015,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,الشرقية,الدمام,معهد,معهد الإدارة العامة,الأعمال والإدارة والقانون,الأعمال والإدارة,المحاسبة والضرائب,منتظم,ذكر,سعودي,158
1/1/2016,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,الشرقية,الإحساء,جامعة,جامعة الملك فيصل,الأعمال والإدارة والقانون,الأعمال والإدارة,التسويق والإعلان,منتظم,ذكر,سعودي,2
1/1/2014,دراسات عليا,ماجستير,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,العلوم الاجتماعية والصحافة والإعلام,العلوم الاجتماعية والسلوكية,علم الاقتصاد,منتظم,أنثى,غير سعودي,4
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,الشرقية,الخفجي,جامعة,جامعة حفر الباطن,العلوم الطبيعية والرياضيات والإحصاء,العلوم الفيزيائية,الكيمياء,منتظم,أنثى,سعودي,79
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,مكة المكرمة,جامعة,جامعة أم القرى,العلوم الطبيعية والرياضيات والإحصاء,العلوم الفيزيائية,علوم الأرض,منتظم,ذكر,سعودي,29
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,رابغ,جامعة,جامعة الملك عبدالعزيز,الأعمال والإدارة والقانون,برامج غير محددة في الأعمال والإدارة والقانون,برامج غير محددة في الأعمال والإدارة والقانون,موازي,ذكر,سعودي,20
1/1/2016,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,مكة المكرمة,جدة,كلية,المؤسسة العامة للتدريب التقني والمهني,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الميكانيك والحرف المعدنية,موازي,ذكر,غير سعودي,42
1/1/2014,دراسات عليا,ماجستير,جامعات حكومية,مكة المكرمة,مكة المكرمة,جامعة,جامعة أم القرى,الفنون والعلوم الإنسانية,اللغات,الأدب وعلوم اللغات,منتظم,ذكر,غير سعودي,1
1/1/2013,دراسات عليا,دكتوراه,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,العلوم الطبيعية والرياضيات والإحصاء,العلوم الفيزيائية,علوم الأرض,منتظم,ذكر,غير سعودي,1
1/1/2014,دراسات عليا,زمالة,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود بن عبدالعزيز للعلوم الصحية,الصحة والرفاة,الصحة,الطب,منتظم,أنثى,غير سعودي,2
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,جازان,جازان,جامعة,جامعة جازان,العلوم الطبيعية والرياضيات والإحصاء,العلوم الفيزيائية,الفيزياء,منتظم,ذكر,سعودي,501
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الإمام محمد بن سعود الإسلامية,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الميكانيك والحرف المعدنية,منتظم,ذكر,سعودي,121
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,رابغ,جامعة,جامعة الملك عبدالعزيز,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,موازي,ذكر,غير سعودي,3
