Year,Educational Level,Academic Level,Type of Educational Institution,Region,State,Type of University,University Name,General Field,Field,Specialization,Education type,Gender,Nationality,Number of Students
1/1/2015,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,الشرقية,الدمام,جامعة,جامعة الأمير محمد بن فهد,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تطوير وتحليل البرمجيات والتطبيقات,منتظم,أنثى,سعودي,50
1/1/2017,دراسات عليا,ماجستير,جامعات حكومية,القصيم,بريدة,جامعة,جامعة القصيم,العلوم الاجتماعية والصحافة والإعلام,العلوم الاجتماعية والسلوكية,علم الاجتماع والدراسات الثقافية,منتظم,أنثى,سعودي,4
1/1/2015,دراسات عليا,ماجستير,جامعات حكومية,الحدود الشمالية,عرعر,جامعة,جامعة الحدود الشمالية,الفنون والعلوم الإنسانية,اللغات,الأدب وعلوم اللغات,منتظم,ذكر,سعودي,1
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,نجران,نجران,جامعة,جامعة نجران,التعليم,التعليم,تدريب المعلمين مع موضوع تخصصي,منتظم,أنثى,غير سعودي,1
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,الحدود الشمالية,رفحاء,جامعة,جامعة الحدود الشمالية,العلوم الطبيعية والرياضيات والإحصاء,العلوم البيولوجية والعلوم المتصلة بها,البيولوجيا,منتظم,أنثى,سعودي,114
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,جازان,جازان,جامعة,جامعة جازان,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,أنثى,غير سعودي,12
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,الشرقية,الدمام,جامعة,جامعة الإمام عبدالرحمن بن فيصل,الأعمال والإدارة والقانون,الأعمال والإدارة,التسويق والإعلان,منتسب,ذكر,سعودي,30
1/1/2016,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,الرياض,حريملاء,جامعة,جامعة شقراء,الأعمال والإدارة والقانون,الأعمال والإدارة,السكرتارية والأعمال المكتبية,منتظم,أنثى,سعودي,47
1/1/2017,دراسات عليا,ماجستير,جامعات حكومية,مكة المكرمة,مكة المكرمة,جامعة,جامعة أم القرى,الفنون والعلوم الإنسانية,الدراسات الإنسانية,الدين وعلوم الأديان,منتظم,ذكر,غير سعودي,18
1/1/2017,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,عسير,أبها,كلية,المؤسسة العامة للتدريب التقني والمهني,الهندسة والتصنيع والبناء,الهندسة المعمارية والبناء,الهندسة المعمارية وتخطيط المدن,منتظم,ذكر,غير سعودي,6
